cluster,ags5,kreis
3,12053,Frankfurt (Oder)
2,12054,Potsdam
2,12060,Barnim
2,12061,Dahme-Spreewald
2,12062,Elbe-Elster
2,12063,Havelland
2,12064,Märkisch-Oderland
2,12065,Oberhavel
2,12066,Oberspreewald-Lausitz
2,12067,Oder-Spree
2,12068,Ostprignitz-Ruppin
2,12069,Potsdam-Mittelmark
2,12070,Prignitz
2,12071,Spree-Neiße
2,12072,Teltow-Fläming
2,12073,Uckermark
0,13003,"Rostock, Hansestadt"
2,13004,"Schwerin, Landeshauptstadt"
2,13071,Mecklenburgische Seenplatte
2,13072,Landkreis Rostock
2,13073,Vorpommern-Rügen
2,13074,Nordwestmecklenburg
2,13075,Vorpommern-Greifswald
2,13076,Ludwigslust-Parchim
0,14511,Chemnitz
2,14521,Erzgebirgskreis
1,14522,Mittelsachsen
2,14523,Vogtlandkreis
0,14524,Zwickau
1,14612,Dresden
2,14625,Bautzen
2,14626,Görlitz
2,14627,Meißen
2,14628,Sächsische Schweiz-Osterzgebirge
1,14713,"Leipzig, Stadt"
2,14729,"Leipzig, Kreis"
2,14730,Nordsachsen
3,15001,Dessau-Roßlau
0,15002,Halle (Saale)
2,15003,Magdeburg
2,15081,Altmarkkreis Salzwedel
2,15082,Anhalt-Bitterfeld
2,15083,Börde
2,15084,Burgenlandkreis
2,15085,Harz
3,15086,Jerichower Land
2,15087,Mansfeld-Südharz
2,15088,Saalekreis
2,15089,Salzlandkreis
2,15090,Stendal
2,15091,Wittenberg
0,16051,Erfurt
0,16052,Gera
0,16053,Jena
0,16054,Suhl
0,16055,Weimar
2,16056,Eisenach
2,16061,Eichsfeld
2,16062,Nordhausen
2,16063,Wartburgkreis
2,16064,Unstrut-Hainich-Kreis
2,16065,Kyffhäuserkreis
2,16066,Schmalkalden-Meiningen
3,16067,Gotha
3,16068,Sömmerda
3,16069,Hildburghausen
2,16070,Ilm-Kreis
2,16071,Weimarer Land
3,16072,Sonneberg
2,16073,Saalfeld-Rudolstadt
2,16074,Saale-Holzland-Kreis
2,16075,Saale-Orla-Kreis
0,16076,Greiz
2,16077,Altenburger Land
