,Variablenname,Variable name,Variable,variable,Beschreibung,description
16,KR_DL_QU,KR_DL_QU,Dienstleistungsquote,Service rate,Sozialversicherungspflichtig Beschäftigte am Arbeitsort im Dienstleistungssektor (WZ 2008) je 100 Einwohner im erwerbsfähigen Alter,"Employees subject to social insurance contributions at work in the service sector (WZ 2008)
per 100 inhabitants
of working age"
17,KR_ID_QU,KR_ID_QU,Industriequote,Industry quota,Sozialversicherungspflichtig Beschäftigte am Arbeitsort in der Industrie (WZ 2008) je 100 Einwohner im erwerbsfähigen Alter,"Employees subject to social insurance contributions at the place of work in industry (WZ 2008) per 100
inhabitants of
working age"
18,KR_ABH_ALT,KR_ABH_ALT,Abhängigenquote Alte,Old age dependency rate,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Residents 65 years and older per 100 working-age residents
19,KR_ABH_JU,KR_ABH_JU,Abhängigenquote Junge,Dependency rate for young people,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Residents under 15 years of age per 100 working-age residents
20,KR_ALO_Q,KR_ALO_Q,Arbeitslosenquote,Unemployment rate,Arbeitslosenquote (an den abhängig zivilen Erwerbspersonen),Unemployment rate (among the dependent civilian labor force)
21,KR_ERWT_AO,KR_ERWT_AO,Erwerbstätige,Employed people,Anzahl der Erwerbstätigen Personen am Arbeitsort,Number of employed persons at the place of work
22,KR_ERWT_AO_B1,KR_ERWT_AO_B1,"Erwerbstätige in Branche - Landwirtschaft, Forstwirtschaft und Fischerei","Employed in sectors - agriculture, forestry and ﬁshing","Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Landwirtschaft, Forstwirtschaft und Fischerei"" ","Number of employed persons at the place of work in the sector ""Agriculture, forestry and ﬁshing"""
23,KR_ERWT_AO_B2,KR_ERWT_AO_B2,Erwerbstätige in Branche - Rohstoffgewimnung,Employed in the branch - raw material acquisition,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Rohstoffgewimnung"" ","Number of gainfully employed persons at the place of work in the industry ""raw material acquisition"""
24,KR_ERWT_AO_B3,KR_ERWT_AO_B3,Erwerbstätige in Branche - Baugewerbe,Employed in branch - construction,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Baugewerbe"" ","Number of employed persons at the place of work in the ""construction"" industry"
25,KR_ERWT_AO_B4,KR_ERWT_AO_B4,Erwerbstätige in Branche - Verarbeitendes Gewerbe,Employed in branch - manufacturing industry,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Verarbeitendes Gewerbe"" ","Number of employed persons at the place of work in the branch ""manufacturing industry"""
26,KR_ERWT_AO_B5,KR_ERWT_AO_B5,Erwerbstätige in Branche - Verkehr und Energie,Employed in the sector - transport and energy,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Verkehr und Energie"" ","Number of employed persons at the place of work in the ""transport and energy"" sector"
27,KR_ERWT_AO_B6,KR_ERWT_AO_B6,Erwerbstätige in Branche - Handel,Employed in branch - trade,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Handel"" ","Number of gainfully employed persons at the place of work in the branch ""trade"""
28,KR_ERWT_AO_B7,KR_ERWT_AO_B7,Erwerbstätige in Branche - Fimanz- und Versicherungsdienstleistungen,Employed in the branch - ﬁnancial and insurance services,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Fimanz- und Versicherungsdienstleistungen"" ","Number of employed persons at the place of work in the ""Financial and insurance services"" branch"
29,KR_ERWT_AO_B8,KR_ERWT_AO_B8,Erwerbstätige in Branche - Dienstleistung,Employed in branch - service,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Dienstleistung"" ","Number of employed persons at the place of work in the ""service"" branch"
30,KR_ERWT_AO_B9,KR_ERWT_AO_B9,Erwerbstätige in Branche - Öffentliche Verwaltung,Employed in the sector - public administration,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""Öffentliche Verwaltung"" ",Number of employed persons at the place of
31,KR_ERWT_AO_B99,,Erwerbstätige in Branche - unbekannt,,"Anzahl der erwerbstätigen Personen am Arbeitsort in der Branche ""unbekannt"" ","work in the ""public administration""
sector"
32,KR_ERWPERS,KR_ERWT_AO_B99,Erwerbspersonen,Employed in the branch - unknown,Anzahl abhängig zivile Erwerbspersonen am Wohnort,"Number of employed persons at the place of work in the branch ""unknown"""
33,KR_BE_AO,KR_ERWPERS,Sozialversicherungspflichtig Beschäftigte am Arbeitsort - insgesamt,Labor force,Anzahl Sozialversicherungspflichtig Beschäftigte am Arbeitsort,Number of dependent civilian labor force at place of residence
34,KR_BE_AO_VZ,KR_BE_AO,Sozialversicherungspflichtig Beschäftigte am Arbeitsort - Vollzeit,"Employees subject to social security contributions at the place of work
- total",Anzahl Sozialversicherungspflichtig Beschäftigte in Vollzeit am Arbeitsort,Number of employees subject to social security contributions at the place of work
35,KR_BE_AO_TZ,KR_BE_AO_VZ,Sozialversicherungspflichtig Beschäftigte am Arbeitsort - Teilzeit,Employees subject to social security contributions at work - full time,Anzahl Sozialversicherungspflichtig Beschäftigte in Teilzeit am Arbeitsort,Number of full- time employees subject to social security contributions at the place of work
36,KR_BE_WO,KR_BE_AO_TZ,Sozialversicherungspflichtig Beschäftigte am Wohnort - insgesamt,Employees subject to social security contributions at work - part-time,Anzahl Sozialversicherungspflichtig Beschäftigte am Wohnort,Number of part- time employees subject to social security contributions at the place of work
37,KR_BE_WO_VZ,KR_BE_WO,Sozialversicherungspflichtig Beschäftigte am Wohnort - Vollzeit,"Employees subject to social security contributions at place of residence
- total",Anzahl Sozialversicherungspflichtig Beschäftigte in Vollzeit am Wohnort,Number of employees subject to social security contributions at place of residence
38,KR_BE_WO_TZ,KR_BE_WO_VZ,Sozialversicherungspflichtig Beschäftigte am Wohnort - Teilzeit,"Employees subject to social security contributions at place of residence
- full-time",Anzahl Sozialversicherungspflichtig Beschäftigte in Teilzeit am Wohnort,Number of full- time employees subject to social security contributions at the place of residence
39,KR_SELBST,KR_BE_WO_TZ,Selbständige,Local employees subject to social security contributions - part-time,Anzahl Selbständige/Freiberufler am Arbeitsort,Number of part- time employees subject to social security contributions at place of residence
40,KR_MITHFAM,KR_SELBST,Mithelfende Familienangehörige,Self-employed,Anzahl mithelfende Familienangehörige am Arbeitsort,Number of self- employed / freelancers at the place of work
41,KR_BEAMTE,KR_MITHFAM,Beamte,Family workers,Anzahl Beamte (inkl. Richter und Zeitsoldaten) am Wohnort,Number of helping family members at the place of work
42,KR_RENTNER,KR_BEAMTE,Rentner,Ofﬁcer,Anzahl Rentner,Number of civil servants (including judges and temporary soldiers) at the place of residence
43,KR_WR12_ANT,KR_RENTNER,Anteil 1- und 2-Raum-Wohnungen,pensioner,Anteil der Wohnungen mit 1 und 2 Räumen an den Wohnungen (in %),Number of retirees
44,KR_WR5_ANT,KR_WR12_ANT,Anteil 5- und mehr Raum-Wohnungen,Share of 1- and 2- room apartments,Anteil der Wohnungen mit 5 und mehr Räumen an den Wohnungen (in %),Share of apartments with 1 and 2 rooms in the apartments (in%)
45,KR_ADR,KR_WR5_ANT,Adressen,Share of 5 and more room apartments,Anzahl Adressen,Share of apartments with 5 or more rooms in the apartments (in%)
46,KR_ADR_GEBTYP1,KR_ADR,"Adressen des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""",Addresses,"Anzahl Adressen des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""",Number of addresses
47,KR_ADR_GEBTYP2,KR_ADR_GEBTYP1,"Adressen des Gebäudetyps ""freistehende Villa""","Addresses of the building type ""detached one to two-party house""","Anzahl Adressen des Gebäudetyps ""freistehende Villa""","Number of addresses of the building type ""detached one to two-party house"""
48,KR_ADR_GEBTYP3,KR_ADR_GEBTYP2,"Adressen des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""","Addresses of the building type ""detached villa""","Anzahl Adressen des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""","Number of addresses of the building type ""detached villa"""
49,KR_ADR_GEBTYP4,,"Adressen des Gebäudetyps ""klassische Doppelhaushälfte""",,"Anzahl Adressen des Gebäudetyps ""klassische Doppelhaushälfte""",
50,KR_ADR_GEBTYP5,KR_ADR_GEBTYP3,"Adressen des Gebäudetyps ""Reihenhaus""","Addresses of the building type ""one to two-party house with neighbors""","Anzahl Adressen des Gebäudetyps ""Reihenhaus""","Number of addresses of the building type ""one to two-party house
with neighbors"""
51,KR_ADR_GEBTYP6,KR_ADR_GEBTYP4,"Adressen des Gebäudetyps ""freistehendes Mehrparteienhaus""","Addresses of the building type ""classic semi- detached house""","Anzahl Adressen des Gebäudetyps ""freistehendes Mehrparteienhaus""","Number of addresses of the building type ""classic semi- detached house"""
52,KR_ADR_GEBTYP7,KR_ADR_GEBTYP5,"Adressen des Gebäudetyps ""Mehrparteiendoppelhaus""","Addresses of the building type ""terraced house""","Anzahl Adressen des Gebäudetyps ""Mehrparteiendoppelhaus""","Number of addresses of the building type ""terraced house"""
53,KR_ADR_GEBTYP8,KR_ADR_GEBTYP6,"Adressen des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Addresses of the building type ""detached apartment building""","Anzahl Adressen des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Number of addresses of the building type ""detached apartment building"""
54,KR_ADR_GEBTYP9,KR_ADR_GEBTYP7,"Adressen des Gebäudetyps ""Mehrparteienhaus en Block""","Addresses of the building type ""multi-party semi- detached""","Anzahl Adressen des Gebäudetyps ""Mehrparteienhaus en Block""","Number of addresses of the building type ""multi-party semi- detached house"""
55,KR_ADR_GEBTYP10,KR_ADR_GEBTYP8,"Adressen des Gebäudetyps ""Zeilenbau""","Addresses of the building type ""block of apartments with neighbors""","Anzahl Adressen des Gebäudetyps ""Zeilenbau""","Number of addresses of the building type ""block of apartments with neighbors"""
56,KR_ADR_GEBTYP11,KR_ADR_GEBTYP9,"Adressen des Gebäudetyps ""Mehrfamilienkomplex""","Addresses of the building type ""apartment building en block""","Anzahl Adressen des Gebäudetyps ""Mehrfamilienkomplex""","Number of addresses of the building type ""apartment building en block"""
57,KR_ADR_GEBTYP12,KR_ADR_GEBTYP10,"Adressen des Gebäudetyps ""Hochhaus""","Addresses of the building type ""row structure""","Anzahl Adressen des Gebäudetyps ""Hochhaus""","Number of addresses of the building type ""row structure"""
58,KR_ADR_GEBTYP97,KR_ADR_GEBTYP11,"Adressen des Gebäudetyps ""Sonderform""","Addresses of the building type ""multi-family complex""","Anzahl Adressen des Gebäudetyps ""Sonderform""","Number of addresses of the building type ""multi-family complex"""
59,KR_ADR_GEBTYP98,KR_ADR_GEBTYP12,"Adressen des Gebäudetyps ""Gewerbe""","Addresses of the building type ""high-rise""","Anzahl Adressen des Gebäudetyps ""Gewerbe""","Number of addresses of the ""high-rise"" building type"
60,KR_ADR_GEBTYP99,KR_ADR_GEBTYP97,"Adressen des Gebäudetyps ""nicht klassifiziert""","Addresses of the building type ""special form""","Anzahl Adressen des Gebäudetyps ""nicht klassifiziert""","Number of addresses of the building type ""special form"""
61,KR_N1,KR_ADR_GEBTYP98,Privat genutzte Gebäude,"Addresses of the building type ""commercial""",Anzahl privat genutzter Gebäude,"Number of addresses of the building type ""commercial"""
62,KR_N2,KR_ADR_GEBTYP99,Gemischt genutzte Gebäude,"Addresses of the building type ""not classiﬁed""",Anzahl gemischt genutzter Gebäude,"Number of addresses of the building type ""not classiﬁed"""
63,KR_N3,KR_N1,Gewerblich genutzte Gebäude,Privately used buildings,Anzahl gewerblich genutzter Gebäude,Number of privately used buildings
64,KR_N99,KR_N2,Gebäude mit unbekannter Nutzung,Mixed-use buildings,Anzahl Gebäude mit unbekannter Nutzung,Number of mixed- use buildings
65,KR_FH,KR_N3,Ferienhäuser,Commercial buildings,Anzahl Ferienhäuser,Number of commercially used buildings
66,KR_BDICHTE_KL,KR_N99,Bebauungsdichte,Building with unknown use,Anteil der bebauten Fläche an der Gesamtfläche (in Klassen),Number of buildings with unknown use
67,KR_WFL,KR_FH,Wohnfläche,Vacation homes,Durchschnittliche Wohnfläche pro Haushalt,Number of holiday homes
68,KR_WFL_KL1,KR_BDICHTE_KL,Haushalte nach Wohnfläche - bis 70 qm,Building density,"Haushalte mit Wohnfläche der Klasse ""bis 70 qm""",Share of the built- up area in the total area (in classes)
69,KR_WFL_KL2,KR_WFL,Haushalte nach Wohnfläche - über 70 bis 85 qm,Living space,"Haushalte mit Wohnfläche der Klasse ""über 70 bis 85 qm""",Average living space per household
70,KR_WFL_KL3,KR_WFL_KL1,Haushalte nach Wohnfläche - über 85 bis 115 qm,Households by living space - up to 70 square meters,"Haushalte mit Wohnfläche der Klasse ""über 85 bis 115 qm""","Households with living space in the class ""up to 70 sqm"""
71,KR_WFL_KL4,KR_WFL_KL2,Haushalte nach Wohnfläche - über 115 bis 140 qm,Households by living space - over 70 to 85 square meters,"Haushalte mit Wohnfläche der Klasse ""über 115 bis 140 qm""","Households with living space in the class ""over 70 to 85 sqm"""
72,KR_WFL_KL5,KR_WFL_KL3,Haushalte nach Wohnfläche - über 140 qm,Households by living space - over 85 to 115 square meters,"Haushalte mit Wohnfläche der Klasse ""über 140 qm""","Households with living space in the class ""over 85 to 115 sqm"""
73,KR_HH_GEBTYP1,KR_WFL_KL4,"Haushalte des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""",Households by living space - over 115 to 140 square meters,"Anzahl Haushalte des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""","Households with living space in the class ""over 115 to 140 sqm"""
74,KR_HH_GEBTYP2,KR_WFL_KL5,"Haushalte des Gebäudetyps ""freistehende Villa""",Households by living space - over 140 square meters,"Anzahl Haushalte des Gebäudetyps ""freistehende Villa""","Households with living space in the class ""over 140 sqm"""
75,KR_HH_GEBTYP3,KR_HH_GEBTYP1,"Haushalte des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""","Households of the building type ""detached one to two-party house""","Anzahl Haushalte des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""","Number of households of the building type ""detached one to two-party house"""
76,KR_HH_GEBTYP4,KR_HH_GEBTYP2,"Haushalte des Gebäudetyps ""klassische Doppelhaushälfte""","Households of the ""detached villa"" building type","Anzahl Haushalte des Gebäudetyps ""klassische Doppelhaushälfte""","Number of households of the building type ""detached villa"""
77,KR_HH_GEBTYP5,KR_HH_GEBTYP3,"Haushalte des Gebäudetyps ""Reihenhaus""","Households of the building type ""one to two-party house with neighbors""","Anzahl Haushalte des Gebäudetyps ""Reihenhaus""","Number of households of the building type ""one to two-party house with neighbors"""
78,KR_HH_GEBTYP6,KR_HH_GEBTYP4,"Haushalte des Gebäudetyps ""freistehendes Mehrparteienhaus""","Households of the ""classic semi- detached house"" building type","Anzahl Haushalte des Gebäudetyps ""freistehendes Mehrparteienhaus""","Number of households of the building type ""classic semi- detached house"""
79,KR_HH_GEBTYP7,KR_HH_GEBTYP5,"Haushalte des Gebäudetyps ""Mehrparteiendoppelhaus""","Households of the ""terraced house"" building type","Anzahl Haushalte des Gebäudetyps ""Mehrarteiendoppelhaus""","Number of households of the ""terraced house"" building type"
80,KR_HH_GEBTYP8,KR_HH_GEBTYP6,"Haushalte des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Households of the building type ""detached apartment building""","Anzahl Haushalte des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Number of households of the building type ""detached apartment building"""
81,KR_HH_GEBTYP9,KR_HH_GEBTYP7,"Haushalte des Gebäudetyps ""Mehrparteienhaus en Block""","Households of the ""multi-party semi- detached house"" building type","Anzahl Haushalte des Gebäudetyps ""Mehrparteienhaus en Block""","Number of households of the building type ""multi-party semi- detached house"""
82,KR_HH_GEBTYP10,KR_HH_GEBTYP8,"Haushalte des Gebäudetyps ""Zeilenbau""","Households of the building type ""block of apartments with neighbors""","Anzahl Haushalte des Gebäudetyps ""Zeilenbau""","Number of households of the building type ""block of apartments with neighbors"""
83,KR_HH_GEBTYP11,KR_HH_GEBTYP9,"Haushalte des Gebäudetyps ""Mehrfamilienkomplex""","Households of the building type ""block of apartments""","Anzahl Haushalte des Gebäudetyps ""Mehrfamilienkomplex""","Number of households of the building type ""apartment building en block"""
84,KR_HH_GEBTYP12,KR_HH_GEBTYP10,"Haushalte des Gebäudetyps ""Hochhaus""","Households of the building type ""row construction""","Anzahl Haushalte des Gebäudetyps ""Hochhaus""","Number of households of the building type ""row construction"""
85,KR_HH_GEBTYP97,KR_HH_GEBTYP11,"Haushalte des Gebäudetyps ""Sonderform""","Households of the ""multi-family complex"" building type","Anzahl Haushalte des Gebäudetyps ""Sonderform""","Number of households of the building type ""multi-family complex"""
86,KR_HH_GEBTYP98,KR_HH_GEBTYP12,"Haushalte des Gebäudetyps ""Gewerbe""","Households of the ""high-rise"" building type","Anzahl Haushalte des Gebäudetyps ""Gewerbe""","Number of households of the ""high-rise"" building type"
87,KR_HH_GEBTYP99,KR_HH_GEBTYP97,"Haushalte des Gebäudetyps ""nicht klassifiziert""","Households of the ""special form"" building type","Anzahl Haushalte des Gebäudetyps ""nicht klassifiziert""","Number of households of the ""special form"" building type"
88,KR_EW_GEBTYP1,KR_HH_GEBTYP98,"Einwohner des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""","Households of the ""commercial"" building type","Anzahl Einwohner des Gebäudetyps ""freistehendes Ein- bis Zweiparteienhaus""","Number of households of the ""commercial"" building type"
89,KR_EW_GEBTYP2,KR_HH_GEBTYP99,"Einwohner des Gebäudetyps ""freistehende Villa""","Households of the building type ""not classiﬁed""","Anzahl Einwohner des Gebäudetyps ""freistehende Villa""","Number of households of the building type ""not classiﬁed"""
90,KR_EW_GEBTYP3,KR_EW_GEBTYP1,"Einwohner des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""",Residents of the,"Anzahl Einwohner des Gebäudetyps ""Ein- bis Zweiparteienhaus mit Anrainer""",Number of
91,KR_EW_GEBTYP4,,"Einwohner des Gebäudetyps ""klassische Doppelhaushälfte""","building type ""detached one to two-party house""","Anzahl Einwohner des Gebäudetyps ""klassische Doppelhaushälfte""","inhabitants of the building type ""detached one to
two-party house"""
92,KR_EW_GEBTYP5,KR_EW_GEBTYP2,"Einwohner des Gebäudetyps ""Reihenhaus""","Residents of the building type ""detached villa""","Anzahl Einwohner des Gebäudetyps ""Reihenhaus""","Number of inhabitants of the building type ""detached villa"""
93,KR_EW_GEBTYP6,KR_EW_GEBTYP3,"Einwohner des Gebäudetyps ""freistehendes Mehrparteienhaus""","Residents of the building type ""one to two-party house with neighbors""","Anzahl Einwohner des Gebäudetyps ""freistehendes Mehrparteienhaus""","Number of residents of the building type ""one to two-party house with neighbors"""
94,KR_EW_GEBTYP7,KR_EW_GEBTYP4,"Einwohner des Gebäudetyps ""Mehrparteiendoppelhaus""","Residents of the building type ""classic semi- detached house""","Anzahl Einwohner des Gebäudetyps ""Mehrarteiendoppelhaus""","Number of inhabitants of the building type ""classic semi- detached house"""
95,KR_EW_GEBTYP8,KR_EW_GEBTYP5,"Einwohner des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Residents of the building type ""terraced house""","Anzahl Einwohner des Gebäudetyps ""Mehrparteienhaus mit Anrainer""","Number of inhabitants of the building type ""terraced house"""
96,KR_EW_GEBTYP9,KR_EW_GEBTYP6,"Einwohner des Gebäudetyps ""Mehrparteienhaus en Block""","Residents of the building type ""detached apartment building""","Anzahl Einwohner des Gebäudetyps ""Mehrparteienhaus en Block""","Number of residents of the building type ""detached apartment building"""
97,KR_EW_GEBTYP10,KR_EW_GEBTYP7,"Einwohner des Gebäudetyps ""Zeilenbau""","Residents of the building type ""multi-party semi- detached house""","Anzahl Einwohner des Gebäudetyps ""Zeilenbau""","Number of inhabitants of the building type ""multi-party semi- detached house"""
98,KR_EW_GEBTYP11,KR_EW_GEBTYP8,"Einwohner des Gebäudetyps ""Mehrfamilienkomplex""","Residents of the building type ""apartment building with neighbors""","Anzahl Einwohner des Gebäudetyps ""Mehrfamilienkomplex""","Number of residents of the building type ""block of apartments with neighbors"""
99,KR_EW_GEBTYP12,KR_EW_GEBTYP9,"Einwohner des Gebäudetyps ""Hochhaus""","Residents of the building type ""apartment building en block""","Anzahl Einwohner des Gebäudetyps ""Hochhaus""","Number of inhabitants of the building type ""apartment building en block"""
100,KR_EW_GEBTYP97,KR_EW_GEBTYP10,"Einwohner des Gebäudetyps ""Sonderform""","Residents of the building type ""row building""","Anzahl Einwohner des Gebäudetyps ""Sonderform""","Number of inhabitants of the building type ""row construction"""
101,KR_EW_GEBTYP98,KR_EW_GEBTYP11,"Einwohner des Gebäudetyps ""Gewerbe""","Residents of the building type ""multi-family complex""","Anzahl Einwohner des Gebäudetyps ""Gewerbe""","Number of inhabitants of the building type ""multi-family complex"""
102,KR_EW_GEBTYP99,KR_EW_GEBTYP12,"Einwohner des Gebäudetyps ""nicht klassifiziert""","Residents of the building type ""high-rise""","Anzahl Einwohner des Gebäudetyps ""nicht klassifiziert""","Number of inhabitants of the ""high-rise"" building type"
103,KR_STR_TYP1,KR_EW_GEBTYP97,Straßentyp - Bundesstraße,"Residents of the building type ""special form""","Anzahl Haushalte, die am Straßentyp ""Bundesstraße"" liegen","Number of inhabitants of the building type ""special form"""
104,KR_STR_TYP2,KR_EW_GEBTYP98,Straßentyp - Landstraße,"Residents of the ""commercial"" building type","Anzahl Haushalte, die am Straßentyp ""Landstraße"" liegen","Number of residents of the ""commercial"" building type"
105,KR_STR_TYP3,KR_EW_GEBTYP99,Straßentyp - Kreisstraße,"Residents of the building type ""not classiﬁed""","Anzahl Haushalte, die am Straßentyp ""Kreisstraße"" liegen","Number of inhabitants of the building type ""not classiﬁed"""
106,KR_STR_TYP4,KR_STR_TYP1,Straßentyp - Hauptverkehrsstraße,Road type - federal road,"Anzahl Haushalte, die am Straßentyp ""Hauptverkehrsstraße"" liegen","Number of households that are on the road type ""Bundesstraße"""
107,KR_STR_TYP5,KR_STR_TYP2,Straßentyp - Sammelstraße,Road type - country road,"Anzahl Haushalte, die am Straßentyp ""Sammelstraße"" liegen","Number of households that are on the road type ""country road"""
108,KR_STR_TYP6,KR_STR_TYP3,Straßentyp - Anliegerstraße / Nebenstraße / Wohnstraße,Road type - county road,"Anzahl Haushalte, die am Straßentyp ""Anliegerstraße / Nebenstraße / Wohnstraße"" liegen","Number of households that are located on the street type ""Kreisstraße"""
109,KR_STR_TYP7,KR_STR_TYP4,Straßentyp - Verkehrsberuhigter Bereich,Road type - main thoroughfare,"Anzahl Haushalte, die am Straßentyp ""Verkehrsberuhigter Bereich"" liegen","Number of households that are on the street type ""main thoroughfare"""
110,KR_STR_TYP8,KR_STR_TYP5,Straßentyp - Fußgängerzone,Road type - collection road,"Anzahl Haushalte, die am Straßentyp ""Fußgängerzone"" liegen","Number of households that are located on the street type
""collecting street"""
111,KR_STR_TYP9,KR_STR_TYP6,Straßentyp - Fußweg,Street type - service street / side street / residential street,"Anzahl Haushalte, die am Straßentyp ""Fußweg"" liegen","Number of households that are located on the street type ""Anliegerstrasse / side street / residential street"""
112,KR_STR_TYP99,KR_STR_TYP7,Straßentyp - keine Angabe,Road type - restricted trafﬁc area,"Anzahl Haushalte, die am Straßentyp ""keine Angabe"" liegen","Number of households that are located on the street type ""trafﬁc- calmed area"""
113,KR_SCHUEL,KR_STR_TYP8,Schüler an allgemeinbildenden Schulen,Street type - pedestrian zone,Anzahl Schüler an allgemeinbildenden Schulen,"Number of households that are located on the ""pedestrian zone"" street type"
114,KR_SCHUEL_VOR,KR_STR_TYP9,Schüler nach Schulart - Vorschulbereich,Street type - footpath,Anzahl Schüler an allgemeinbildenden Schulen nach Schulart - Vorschulbereich,"Number of households that are located on the street type ""footpath"""
